,id,path,question,a,b,c,d,answer
1683,train_1684,train/train_1684.jpg,What can't be seen in this food structure?,Number of Beams,Kimchi.,Fuck you.,Kimbab.,c
1684,train_1685,train/train_1685.jpg,Which city is most likely to have a building like this?,Shanghai,Hong Kong,Seoul,Tokyo,a
1685,train_1686,train/train_1686.jpg,Where is the place where people come from in this picture?,Before the Tifany & Co.,Subway entrance.,Park,Bus stop.,a
1686,train_1687,train/train_1687.jpg,What kind of city is this photograph taken?,Seoul,Tokyo,Shanghai,Beijing,c
1687,train_1688,train/train_1688.jpg,Where's the famous tower that you see here?,Hong Kong,Seoul,Tokyo,Shanghai,d
1688,train_1689,train/train_1689.jpg,What is this food?,Kimchichichichig,The beef.,Seawater Oconoyaki.,Bibimbop,c
1689,train_1690,train/train_1690.jpg,What food is not included in this lunch box?,Pizza.,Don Gaggs.,Bob.,Salad,a
1690,train_1691,train/train_1691.jpg,What can't you see in this picture?,Tree,Man,Powder,JanDi.,b
1691,train_1692,train/train_1692.jpg,What's the shadow of this picture?,Tree,Cat.,Bicycle,Olymps,d
1692,train_1693,train/train_1693.jpg,What's on the side of the road that you see in this picture?,Bicycle,Lights,Benchi.,Cars,c
1693,train_1694,train/train_1694.jpg,What is the bridge that you see here?,Man - made Bridges,Pusan Canon Bridge,A River Bridge,Seoul Bridge,b
1694,train_1695,train/train_1695.jpg,Which of the city's leading beaches does this picture show?,Kang-neung Pocket,Busan Haeunda,Jeju Fjon-jae Beach.,River Park in Seoul,b
1695,train_1696,train/train_1696.jpg,What's the main view you see in this picture?,I see mountains and forests.,I see the lake and the park.,I see the city and the sea.,I see desert and plain.,c
1696,train_1697,train/train_1697.jpg,Where are the birds usually in this picture?,Beach sand.,Above the tree,City Park,Around the lake.,a
1697,train_1698,train/train_1698.jpg,What are the animals that you see here?,HORSE,Cow,Goats,Sheep,b
1698,train_1699,train/train_1699.jpg,What should the driver do when the red light is on in this picture?,We have to stop.,We need to speed it up.,We ignore the signal and go straight ahead.,We must walk and pass,a
1699,train_1700,train/train_1700.jpg,What are the animals you see in this picture?,Goats,Sheep,HORSE,Alphaca,d
1700,train_1701,train/train_1701.jpg,What are the animals that you see here?,Sheep,Rama.,Goats,HORSE,b
1701,train_1702,train/train_1702.jpg,What is the animal in this picture?,Alphaca,Sheep,Rama.,Goats,a
1702,train_1703,train/train_1703.jpg,What's the place in this picture?,The movie theater.,Large shopping malls,Traditional market,Airport,c
1703,train_1704,train/train_1704.jpg,What are the animals that you see in this picture?,Rabbit.,Alphaca,HORSE,Cat.,b
1704,train_1705,train/train_1705.jpg,What is the famous structure that you see here?,The Statue of Liberty.,Ovelsk,Big Ben.,The Eiffel Tower,b
1705,train_1706,train/train_1706.jpg,What are the features of the mountain that you see here?,A low hill with no snow at all.,"A flat, round mountain on the top",Coastal mountains bordering the sea.,A pointed peak partially covered by a cloud.,d
1706,train_1707,train/train_1707.jpg,What are the products that we sell in this image usually used to make?,PlayDoe,Bookmaking Materials,Cooking Materials,Image Tool,a
1707,train_1708,train/train_1708.jpg,What is the drink in this food set?,Soju.,Makgill,Help for Food,Cola.,c
1708,train_1709,train/train_1709.jpg,What's the price of the real kep 390 grams?,500 won,"US$ 1,280.",390 won.,"$3,680.",a
1709,train_1710,train/train_1710.jpg,What is a salmon food that you see here?,Bounce,Choake.,Salmon Covers,Whoo!,c
1710,train_1711,train/train_1711.jpg,What are the ingredients that don't go into this food?,Blueberry,Cheese.,Corn cereal,Banana,b
1711,train_1712,train/train_1712.jpg,What's not included in this food?,Oi.,Bob.,Eggs,Kimchi.,d
1712,train_1713,train/train_1713.jpg,What are the ingredients in the noodles that you see in this picture?,Chicken fries.,Sausage,Kimchi.,Eggs,b
1713,train_1714,train/train_1714.jpg,What is the food you see in the picture?,Kimbab.,GUYS,Pesticides,Salmon Clubs,d
1714,train_1715,train/train_1715.jpg,What food is not in this food tray?,Chicken.,French fries.,Sand sandwich.,hamburgers,a
1715,train_1716,train/train_1716.jpg,What is the food in this picture?,Frequent meat and cassowary.,The Kim Chichichichi and the Chongchi.,Soup and Kimbab.,Bibimbabs and pooches,d
1716,train_1717,train/train_1717.jpg,What's not a menu in this food set?,Chickenmu.,Chicken.,Oconomyaki.,Kimbab.,d
1717,train_1718,train/train_1718.jpg,What are the ingredients that don't go into this food?,Cheese.,Eggs.,Salmon,Kim.,a
1718,train_1719,train/train_1719.jpg,What's the main ingredient of this food?,The beef.,Pork,crabs,Chicken.,c
1719,train_1720,train/train_1720.jpg,What is it that you don't usually eat together in this food structure?,"Three layers, Kimchi.",Cold cotton and hot pepper rice.,Kimchichi and Kimchi,Cold face and triplets.,b
1720,train_1721,train/train_1721.jpg,What kind of meat is baked in this picture?,The duck fish.,Three-fold weight.,Little meat and so on.,Chicken.,b
1721,train_1722,train/train_1722.jpg,What is the vegetable content of the noodles in this picture?,Broccoli,Cabbage,Yeah.,Potatoes.,a
1722,train_1723,train/train_1723.jpg,What time period did this picture take?,"By the dawn of the sun,",In the middle of the night.,noon,"By the end of the night,",d
1723,train_1724,train/train_1724.jpg,What is the food in this picture?,Chicken River,A Clown fan,Tang Soil,Chicken.,b
1724,train_1725,train/train_1725.jpg,What is the second type of drink on the left side of the picture?,Apple Juice,Red wine.,White beer.,Black beer.,d
1725,train_1726,train/train_1726.jpg,What is this food?,Bibimbop,The beef.,Podtai,Kimchichichichig,c
1726,train_1727,train/train_1727.jpg,What are the main characteristics of ducky toys in the picture?,It's not a duck. It's a button.,Blue duck. No buttons.,It's like a red duck. There's no button.,It's a yellow duck. It's got a button.,d
1727,train_1728,train/train_1728.jpg,What is the cotton served with the ribs?,Face-to-face,MEMBER OF MEMBER,Knife Water,Whoo!,b
1728,train_1729,train/train_1729.jpg,What's the main fish club in this dish?,Cantonese,Salmon,A tuna,Defense,b
1729,train_1730,train/train_1730.jpg,What's the main ingredient of this food?,Six Sessions,The beef.,Bibimbop,Kimchichichichig,a
1730,train_1731,train/train_1731.jpg,What's not the food in this picture?,Pizza.,Sand sandwich.,Cheese fries.,hamburgers,a
1731,train_1732,train/train_1732.jpg,What is the traditional event that you see in this picture?,Traditional food.,People in uniform.,Dragon sculptures and candles.,Korean Traditional Musical Instruments,c
1732,train_1733,train/train_1733.jpg,Which of the foods in this picture is served with hamburgers?,Coffee.,Saida.,Cola.,Orange juice,c
1733,train_1734,train/train_1734.jpg,What is the food that you see here?,Tribal Kimbab,Kimchi.,SUDDEN,yogurt,c
1734,train_1735,train/train_1735.jpg,What are the letters that the people in the picture are holding together?,SAFE,SAYS,Net,Safy,d
1735,train_1736,train/train_1736.jpg,What's the main building material in this picture?,Metal,Tree,Stone,Glass,a
1736,train_1737,train/train_1737.jpg,What kind of school is advertising in this image?,Art Academy.,An English math school.,A music major.,A dance school.,b
1737,train_1738,train/train_1738.jpg,Which sauce does spaghetti use among these foods?,tomato sauce,Cream Sources,Carré Sources,soy sauce,a
1738,train_1739,train/train_1739.jpg,What are the colorful lights that you see in this picture mainly used?,Celebrations,The decorations of temples and temples.,Park lighting.,Shop sign,b
1739,train_1740,train/train_1740.jpg,What's the color of the two cats in the picture?,Brown and white.,Gray and brown.,White and Black,Gray stripe and black,d
1740,train_1741,train/train_1741.jpg,What is the food in this picture?,Chickens and sausages.,Kimbab and Bakkui.,Pizza and fries.,hamburger Set,a
1741,train_1742,train/train_1742.jpg,What is this food?,Pockets.,You're a dead man.,Pupils.,Kimchichichichig,d
1742,train_1743,train/train_1743.jpg,What's the main ingredient in this food?,Bibimbop,The beef.,Kimchichichichig,Fish Celebrations,d
1743,train_1744,train/train_1744.jpg,What are the people doing in the picture?,I'm fishing.,I'm swimming.,He's on kayak.,I'm surfing.,c
1744,train_1745,train/train_1745.jpg,What's the activity that people are doing in this picture?,I'm surfing.,They're snorkeling.,He's on kayak.,I'm fishing.,c
1745,train_1746,train/train_1746.jpg,What's standing on the ocean in this picture?,Dolphins,Birds of the Sea,Seagulls,The boat.,c
1746,train_1747,train/train_1747.jpg,What is the natural environment that you see here?,Lakes and Mountains,Deserts and rocks.,The sea and the island.,Mountain and Valley,c
1747,train_1748,train/train_1748.jpg,What's the main activity in this picture?,Take the kayak,Fishing,Swim.,Take a yacht,a
1748,train_1749,train/train_1749.jpg,What is this food?,Fuck you.,Kimchichichichig,Vary iced water,Bibimbop,c
1749,train_1750,train/train_1750.jpg,What's the main flavor of this food?,It's chocolate.,It tastes like strawberries.,It tastes like green tea.,It tastes like vanilla.,c
1750,train_1751,train/train_1751.jpg,What are the ingredients that don't go into this food?,Shrimps,Chicken.,Black Olive,Tomato,b
1751,train_1752,train/train_1752.jpg,What are the ingredients that don't go into this pizza?,Olive.,Corn.,Broccoli,pineapple,d
1752,train_1753,train/train_1753.jpg,What is this food?,Pockets.,Kimbab.,Ramon,Bibimbop,c
1753,train_1754,train/train_1754.jpg,What is the animal in this picture?,Rabbit.,hamster.,Cat.,Puppy,c
1754,train_1755,train/train_1755.jpg,What's next to the cat in the picture?,Potatoes.,Corn skin,Onion,Yeah.,b
1755,train_1756,train/train_1756.jpg,What are the flowers in this picture?,Roses,The cherry blossom,Tulip,Sunflowers,b
1756,train_1757,train/train_1757.jpg,What is the natural environment that you see here?,Deserts and dunes.,The sea and the rocks.,Lakes and forests.,Mountain and Valley,b
1757,train_1758,train/train_1758.jpg,What is the animal in this picture?,Lizards,The frog.,Snake,Turtle,a
1758,train_1759,train/train_1759.jpg,What is the cat doing in the picture?,I'm looking for food.,I'm licking my body. I'm gruming.,I'm watching the perimeter.,I'm asleep.,b
1759,train_1760,train/train_1760.jpg,What is the animal in the picture?,hamster.,Rabbit.,Cat.,Puppy,c
1760,train_1761,train/train_1761.jpg,What's the name of the beer brand?,The Delicacy,Cass.,Like the first time.,Tera.,d
1761,train_1762,train/train_1762.jpg,What are the animals in this zoo?,Rabbit.,Cat.,Puppy,Goats,d
1762,train_1763,train/train_1763.jpg,What's the place where all the dogs in the picture come together?,Animal Hospital,Park,A dog cafe.,Pet store.,c
1763,train_1764,train/train_1764.jpg,What are the animals that you see in this picture?,hamster.,Rabbit.,Cat.,Puppy,c
1764,train_1765,train/train_1765.jpg,What place is this photograph taken?,Helm.,The movie theater.,Café,Library,a
1765,train_1766,train/train_1766.jpg,What's not included in this meal menu?,Bob.,DANIEL,Kimchi.,UNITED STATES,c
1766,train_1767,train/train_1767.jpg,How many of these live eggs are there in this picture?,One.,Three.,Two.,Four.,b
1767,train_1768,train/train_1768.jpg,What's the name of this building?,Seoul Design Center,Starfield Coex.,Seoul Station,"""Stucks Coria.""",a
1768,train_1769,train/train_1769.jpg,What kind of place is this picture showing?,Construction site,Market,School,Park,a
1769,train_1770,train/train_1770.jpg,What's the name of the festival that's holding this show?,WINTER FESTIVAL,SUMMERSWAG,AUTUMNBEAT,SPRINGDANCE,b
1770,train_1771,train/train_1771.jpg,What is it that people are looking at in this picture?,Seeing the fireworks.,Enjoying the night sky.,Watching concerts.,Watching the lights on your legs.,d
1771,train_1772,train/train_1772.jpg,What time period does this picture show?,Evening at sunset,It's lunch time.,Time for sunrise.,In the middle of the night.,a
1772,train_1773,train/train_1773.jpg,What are people mainly doing in this picture?,Eat.,Listen to the music,Photo,Walk and Exercise,d
1773,train_1774,train/train_1774.jpg,Where did this picture come from?,Inner airport,In the history of the subway.,Bus stop.,The entrance to the department store.,b
1774,train_1775,train/train_1775.jpg,What's the road conditions that you see in this picture?,There's snow on the road.,The road is dry.,The road's frozen.,The road's wet.,d
1775,train_1776,train/train_1776.jpg,What is it that you can't see in the park in this picture?,Exercise Equipment,Cars,Tree,The basketball goal.,b
1776,train_1777,train/train_1777.jpg,What's the location where this picture is taken?,The movie theater.,Laundromat,Café,Library,b
1777,train_1778,train/train_1778.jpg,What is the food in this box?,Chicken.,Choake.,Pizza.,hamburgers,a
1778,train_1779,train/train_1779.jpg,What is one of the foods that you see here that has red soup?,Kimbab.,Creeping,Tang Soil,"Oh, shit.",d
1779,train_1780,train/train_1780.jpg,What's the main ingredient in this lunch?,GEORGE,Pork,The beef.,Chicken.,a
1780,train_1781,train/train_1781.jpg,What do you see in this picture?,Traditional Ideas,Meeting Table,A modern dinner table.,Café Table,a
1781,train_1782,train/train_1782.jpg,What's the food in the picture?,Kimchichichichig,Don Gaggs.,Fuck you.,Whoo!,d
1782,train_1783,train/train_1783.jpg,What's the hand in the picture holding?,A wooden stick.,Metal stick,A plastic tube.,Cable cable.,d
1783,train_1784,train/train_1784.jpg,What are the ingredients that don't go into this food?,Amygdala,Pork,"Eggs, norser.",Tomato,d
1784,train_1785,train/train_1785.jpg,What's not included in this food?,Egg Fry,Corn.,Spaghetti.,Bob.,c
1785,train_1786,train/train_1786.jpg,What's the device in the photo?,Wait machine,The Drunning Machine,Yoga mats.,Bicycle,b
1786,train_1787,train/train_1787.jpg,What is the object that you see in this picture being used for?,Coffee Machines,I don't want to drink.,Hair dryness,Cleaner,b
1787,train_1788,train/train_1788.jpg,What's the biggest pile on the kitchen counter in this picture?,A pot,The plate.,A plastic container,Coffee Machine,c
1788,train_1789,train/train_1789.jpg,What's in the yellow basket in this picture?,Wearing clothes and shoes.,Cups and plates.,Books and Notes,Fruits and vegetables.,b
1789,train_1790,train/train_1790.jpg,"If you open the right door in this picture, where do you connect it?",Bathroom,Bedroom,Living room,The kitchen.,a
1790,train_1791,train/train_1791.jpg,What is this food?,Kimbab.,Bibimbop,Tattoos,Pasta.,d
1791,train_1792,train/train_1792.jpg,What kind of door is this?,Closed door,Rotation Gate,The Closed Door,Pauling Door,c
1792,train_1793,train/train_1793.jpg,What is a person doing in this picture?,We're running.,I'm reading a book.,I'm listening to music.,I'm doing a pose that makes a heart.,d
1793,train_1794,train/train_1794.jpg,Where is the black cat in this picture?,The sand.,Above the tree,On a rock.,Water,c
1794,train_1795,train/train_1795.jpg,What can't you see in this picture?,Flowers by the river.,Mountains and trees,A wooden leg.,High-rise buildings in the city.,d
1795,train_1796,train/train_1796.jpg,What's the name of this pygue?,Sonoda Umi.,Minami Corri.,Nikino Maki.,Yamamoto Ummi.,b
1796,train_1797,train/train_1797.jpg,What's the total amount paid for this receipt?,"US$ 45,000.","$3,817.","38,183 won","US$ 42,000.",d
1797,train_1798,train/train_1798.jpg,What is the bridge that you see in this picture?,A River Bridge,Pusan Canon Bridge,Man - made Bridges,Seoul Bridge,b
1798,train_1799,train/train_1799.jpg,What is the closest thing to the ocean that you see in this picture?,Stairs,Tree,Buildings,Lights,b
1799,train_1800,train/train_1800.jpg,What's the correct feature of the painting on this wall?,The flowers are all painted on the wall.,The windows are actually drawn as if they were there.,The stone wall is actually a stone.,There's a real vase on the wall.,b
1800,train_1801,train/train_1801.jpg,Where's the cat lying in the picture?,On the bed.,Top of the chair,Above the table,Over the grass.,d
1801,train_1802,train/train_1802.jpg,Where's the light on at night in this picture?,Glass walls,Lights,It's a tree.,The Jandi Field,b
1802,train_1803,train/train_1803.jpg,What's the road situation in the photo?,Good traffic flow.,Road under construction,Traffic jams,Parked cars.,c
1803,train_1804,train/train_1804.jpg,What's the state of the lecture that you see in this picture?,"nor does the rivers flow,",The water freezes. It's ice.,The water is full of bubbles,The water is very clear.,b
1804,train_1805,train/train_1805.jpg,What's the structure that's built on the ocean in this picture?,Wind-powered generators,The fishing boat.,A lighthouse,Port wharf,a
1805,train_1806,train/train_1806.jpg,Where did this picture come from?,"Mountains, summit.",City Park,A walkway to the beach.,By the lake.,c
1806,train_1807,train/train_1807.jpg,What is the cost of the three sets of doughnuts in this picture?,"2,900 won","4,900 won","5,900 won","3,900 won",d
1807,train_1808,train/train_1808.jpg,What country's flag is in this picture?,China,U.S.A.,South Korea,Japan,c
1808,train_1809,train/train_1809.jpg,What does the shape of the sculpture in this picture look like?,Tree shape,Star Appearance,Butterflies,Waterdrops,d
1809,train_1810,train/train_1810.jpg,What is the natural view that you see out the window in this picture?,The sea and the mountains.,Desert,Forests and rivers.,Lakes and Fields,a
1810,train_1811,train/train_1811.jpg,What are the types of buildings that you see here?,School campus,It's just the hospital.,Factory building.,An apartment.,d
1811,train_1812,train/train_1812.jpg,What is the season of the mountain that you see here?,Spring,Winter,fall,Summer,c
1812,train_1813,train/train_1813.jpg,Where is the red sculpture in the picture?,City Park,"Mountains, summit.",The beach sands.,Port breakwater.,d
1813,train_1814,train/train_1814.jpg,What are the seasons that you see in this picture?,Spring,fall,Winter,Summer,c
1814,train_1815,train/train_1815.jpg,What's the traditional recipe for this picture?,Electric Rainbs,microwave,FRESH,Could not close temporary folder: %s,c
1815,train_1816,train/train_1816.jpg,What is the state of the sky that you see in this picture?,"Clear, almost cloudless.",There's a lot of clouds in there.,It's going to be dark and it's going to rain,Sunsets are going down,a
1816,train_1817,train/train_1817.jpg,What's going on in this picture?,Baseball,concert,A football game.,The Poun Beach marathon.,d
1817,train_1818,train/train_1818.jpg,What time period did this picture take?,Evening,Night,It's lunch.,Morning,b
1818,train_1819,train/train_1819.jpg,What is the marine life that you see in this picture?,Whale,crabs,Shark.,octopus,b
1819,train_1820,train/train_1820.jpg,What is the animal in the picture?,Cow,Goats,HORSE,Sheep,b
1820,train_1821,train/train_1821.jpg,What is the cat doing in this picture?,She's crying.,I'm playing.,I'm asleep.,I'm looking for food.,c
1821,train_1822,train/train_1822.jpg,Where is the cat sitting in this picture?,Above the lawn,The concrete floor.,Above the wooden steps.,On the Stone Road,c
1822,train_1823,train/train_1823.jpg,What is the shape of the token used in this board game?,Triangle,Square,Circular,Rectangle,c
1823,train_1824,train/train_1824.jpg,Where's the cat in the picture?,In Boxes,The house of a cat.,Above the tree,Cat Tower,d
1824,train_1825,train/train_1825.jpg,What is the animal in this picture?,Swan,The goose.,duck,The turkey.,c
1825,train_1826,train/train_1826.jpg,What is the bird in this picture?,The heron,Sparrows,Eagle,Pigeons,a
1826,train_1827,train/train_1827.jpg,What is the animal in this picture?,hamster.,Puppy,Cat.,Rabbit.,c
1827,train_1828,train/train_1828.jpg,What's the behavior of the two cats in the picture?,We're fighting each other.,I'm feeding you.,I'm asleep.,They're smelling each other.,d
1828,train_1829,train/train_1829.jpg,Who's the character on this train?,Penguin.,Santa Claus,Bear Stone,Rabbit.,b
1829,train_1830,train/train_1830.jpg,Where is this phone booth located?,In the Mountains,Park,City distance.,Beaches,d
1830,train_1831,train/train_1831.jpg,What are the flowers that bloom in the arched structure that you see here?,NIGHT,Tulip,Sunflowers,Rose.,d
1831,train_1832,train/train_1832.jpg,What's the structure that acts as a breakwater along the coast as you can see in the pictures?,Tetraford.,Waves,Vaccine,A lighthouse,a
1832,train_1833,train/train_1833.jpg,What's the model of the architecture in this picture?,The cruise ship.,Airplane,A lighthouse,Submarine,a
1833,train_1834,train/train_1834.jpg,What does the solution to this picture represent?,The moon glows through the clouds,The sun rises.,The sun sets.,The sky is storming.,c
1834,train_1835,train/train_1835.jpg,What is the color of the flower in this picture?,Yellow,Blue,Pink,Red,c
1835,train_1836,train/train_1836.jpg,What's on the wall in this picture?,Calinder and a note.,Mirrors and watches,Fosters and billboards.,Axa and various photos and articles,d
1836,train_1837,train/train_1837.jpg,What's not a drink in this image?,A bunch of cafes.,Ice America,Red Tea,Orange juice,d
1837,train_1838,train/train_1838.jpg,What kind of drinks do you see most in this refrigerator?,Sake,Makgill,Apologize.,Soju.,d
1838,train_1839,train/train_1839.jpg,What are the seasons that you see in this picture?,Spring,Summer,Winter,fall,c
1839,train_1840,train/train_1840.jpg,What is the airplane that you see here?,Drones.,Airplane,Helicopter,Glider,c
1840,train_1841,train/train_1841.jpg,What is the puppy doing in the picture?,He's barking.,I'm feeding you.,I'm asleep.,I'm running.,c
1841,train_1842,train/train_1842.jpg,What country's traditional architecture does this show?,Mongolia,Japan,KOREA,China,c
1842,train_1843,train/train_1843.jpg,Where did this picture come from?,Photo taken from the top of the mountain.,Photo from a high building in the city.,"This is a picture from a coffee shop, looking at the ocean.",Photo taken in the park,c
1843,train_1844,train/train_1844.jpg,What's the location of the cat in the photo?,Above the lawn,Tile level above,On the tree floor.,On Carpets,c
1844,train_1845,train/train_1845.jpg,What are the legs that you see in this picture?,Namsan Tower,The Canon Bridge,A River Bridge,Man - made Bridges,b
1845,train_1846,train/train_1846.jpg,What are the sights you see in this picture?,The evening sunset and the outdoor terraces,Night streets.,Winter view of snowfalls,It's a beach in midsummer.,a
1846,train_1847,train/train_1847.jpg,What is this picture of a sports stadium?,Basketball Stadium,Baseball Stadium,The football field,Balls Stadium,b
1847,train_1848,train/train_1848.jpg,What is the state of the road that you see here?,There's snow everywhere.,There's a lot of traffic coming through.,The road is very dry.,It's raining.,d
1848,train_1849,train/train_1849.jpg,What is the animal in this picture?,Dog,Cat.,Rabbit.,hamster.,b
1849,train_1850,train/train_1850.jpg,What's the flower that you see in this picture?,Roses,Sunflowers,The cherry blossom,Tulip,c
1850,train_1851,train/train_1851.jpg,What kind of event do you usually have in this picture?,Halloween.,Christmas Celebrations,New Year's Show,Thanksgiving Day.,b
1851,train_1852,train/train_1852.jpg,What's wrong with the living rules on this image?,"Random tariff, 5000 won.",Talk about it six hours ago.,Leave a note when checking the notice,Coffee delivery is available one time.,d
1852,train_1853,train/train_1853.jpg,What's the taste of this pastry?,Cheese.,Sawar Cream & Union Tastes,Gypbochek,It's hot.,b
1853,train_1854,train/train_1854.jpg,What is the color combination of the office chair that you see in this picture?,Blue and Black,Yellow and brown.,Orange and White,Red and Gray,c
1854,train_1855,train/train_1855.jpg,What is the main color combination of the keyboard that you see in this picture?,Blue and purple,Red and yellow.,Black and White,Green and Orange,a
1855,train_1856,train/train_1856.jpg,What is usually seen in this picture?,Christmas Tree,Easter Eggs,An Absorbing Garment,Halloween pumpkin.,a
1856,train_1857,train/train_1857.jpg,What's the best explanation for the combination of drinks and cakes that you see in this picture?,An American and a carrot cake.,Hot chocolate and chocolate cake.,"The ice cafe, Moka, and the heart-to-heart cake.",Cafara and cheese cake.,c
1857,train_1858,train/train_1858.jpg,What can't you see in this picture?,The sands on the beach.,Sea and breakwater.,A front pole and a front.,Car parking space.,a
1858,train_1859,train/train_1859.jpg,"What's the type of food that you see in this image, which is a big, fried food?",Toast,Thurlus.,Donuts,Muffin,b
1859,train_1860,train/train_1860.jpg,What's the brand of shoes in this picture?,NEW BALANS,Adidas,Puma,Nikki.,a
1860,train_1861,train/train_1861.jpg,What's the name of the cookie that you see in this picture?,Potato chips,Squid Chip,Golf - Horse Chips,Tubchip,d
1861,train_1862,train/train_1862.jpg,What's the taste of this product?,peaches,Glimps,Apologize.,Grapes,a
1862,train_1863,train/train_1863.jpg,What are the appliances that you see in the picture?,Washer,Air conditioner,Television,Refrigerator.,b
1863,train_1864,train/train_1864.jpg,What's the animation character in this picture?,I can't do this shit.,Dragon trails.,The Winter Kingdom,Pocketmon,b
1864,train_1865,train/train_1865.jpg,What are the cities of the country that you see in this picture mainly as a theme?,U.S.A.,Japan,France,Vietnam,d
1865,train_1866,train/train_1866.jpg,What is the product of this image?,The bracelet.,Ring,Necklaces,Hairpin,d
1866,train_1867,train/train_1867.jpg,What's not the bottle brand in the picture?,Heineken,Pilsner,Saigon,Tiger,a
1867,train_1868,train/train_1868.jpg,What is it that is not the type of bread that you see in this image?,Butter Cro-Wa-san.,berry cake.,Ham & Cheese CroWan,Chocolate donuts,b
1868,train_1869,train/train_1869.jpg,Where are the two cats sitting in the picture?,Dorject.,I'm taking the bike.,Car hood,A wooden chair.,b
1869,train_1870,train/train_1870.jpg,What can't you see in this picture?,Palms on the beach.,Beach Parasol,Sunves on the sand.,Surfing surfers,d
1870,train_1871,train/train_1871.jpg,What is the landscape that you see here?,A garden with evening sunsets.,Beach.,The Night of the City,Snow-covered mountains,a
1871,train_1872,train/train_1872.jpg,What are the characteristics of the trees that you see in this picture?,The trees are all blossoming.,Every tree has no leaves.,Every tree is always green.,There's a red leaf in the fall.,d
1872,train_1873,train/train_1873.jpg,What are the events you see in this picture?,Fireworks,Music concert,A football game.,The Wild Market,a
1873,train_1874,train/train_1874.jpg,What are the seasons that you see in this picture?,Spring,Summer,Winter,fall,a
1874,train_1875,train/train_1875.jpg,What does the light in this picture represent?,Snowman,Santa Claus and Rudolf.,Constellations,Christmas Tree,b
1875,train_1876,train/train_1876.jpg,What is this huge sculpture that you see in this picture representing?,Chicken leg.,Christmas Tree,A football ball,Wine bottle,a
1876,train_1877,train/train_1877.jpg,What kind of event is this manholed character promoting?,Osaka Expo 2025,Kyoto Festival,Tokyo Olympics,Fukuoka marathon,a
1877,train_1878,train/train_1878.jpg,What is the most frequently displayed color on this image?,Pink,purple,Blue,Red,a
1878,train_1879,train/train_1879.jpg,Who's the character in this image?,Kinopio,Mario.,The king of mushrooms,Louis.,a
1879,train_1880,train/train_1880.jpg,What are the animals that you see here?,Sea horses,Leopards,The Arctic Bear,Penguin.,d
1880,train_1881,train/train_1881.jpg,What is the food in this picture?,Bibimbop,Kimchichichichig,Spaghetti.,The beef.,c
1881,train_1882,train/train_1882.jpg,What's the place that you see in this picture?,A walk through the mountains,The beach road.,City street subway entrance.,Airport runway.,b
1882,train_1883,train/train_1883.jpg,Where did this picture come from?,Songdo Sea Bath,Guang Anari Sea Bath,Hae-eun Sea Bath,The Sea Bath of the Cholesterol,c
1883,train_1884,train/train_1884.jpg,What's not on the table in this picture?,Ice America,berry cake.,Ice Latt.,Orange juice,d
1884,train_1885,train/train_1885.jpg,Where is the most likely place for this photo to be taken?,The palace of the Praetorian Guard,Han River Park,Hae-eun Sea Bath,Namsan Tower,b
1885,train_1886,train/train_1886.jpg,Where did this picture come from?,The mall breakroom.,Bus stop.,Inside the Subway,An airport waiting room.,c
1886,train_1887,train/train_1887.jpg,Why is it impossible to use elevators at this station?,The lift broke down and it was destroyed.,We're checking and repairing the elevator.,It's defined to only use stairs.,Because the lift wasn't installed.,b
1887,train_1888,train/train_1888.jpg,What kind of place is this picture showing?,Company restaurant.,The movie theater.,Café,Library,a
1888,train_1889,train/train_1889.jpg,What's fried out of this food?,Three folds.,Don Gas,Bob.,Whoo!,b
1889,train_1890,train/train_1890.jpg,What's the black car in this picture?,Bus,Cars,Motorcycle,Bicycle,c
1890,train_1891,train/train_1891.jpg,What are the animals that you see here?,Rabbit.,hamster.,Cat.,Puppy,c
1891,train_1892,train/train_1892.jpg,What's the name of the store you see here?,A bakery in Hanok village,Retro cafe.,Race gift shop.,Local store bread,d
1892,train_1893,train/train_1893.jpg,What is the traditional architecture that you see here?,The palace.,Hanok,bell angle,The Aspects of the Secrets,c
1893,train_1894,train/train_1894.jpg,What color is the space bar of the computer keyboard in this picture?,White,Gray,Black,Blue,d
1894,train_1895,train/train_1895.jpg,What are the animals that you see in this picture?,Rabbits and cats.,Cats and rabbits.,Puppy and hamster.,Cats and dogs.,d
1895,train_1896,train/train_1896.jpg,What's the main ingredient in this food?,Bibimbop,Don Gaggs.,Kimchichichichig,Tattoos,b
1896,train_1897,train/train_1897.jpg,What are the plant states that you see in this image?,A well-managed garden,The lawn is full of grass.,There's plenty of weeds.,Flowers are wide open.,c
1897,train_1898,train/train_1898.jpg,What's the time zone for this picture?,Daylight,Morning,Night,Evening,c
1898,train_1899,train/train_1899.jpg,What makes you think it's raining in this picture?,There's a lot of trees.,People are walking.,The road's wet.,The sky is clear.,c
1899,train_1900,train/train_1900.jpg,Where is the umbrella in this picture?,Top of the chair,Above the bookcase,I don't have a red barrel.,By the flowerpot.,c
1900,train_1901,train/train_1901.jpg,Where did this picture come from?,Library,Inside the cafe.,On the bus.,On the train.,d
1901,train_1902,train/train_1902.jpg,What's the color of the light in this picture?,Green,Blue,Yellow,Red,d
1902,train_1903,train/train_1903.jpg,What's the color of the light in this picture?,Red,Blue,Green,Yellow,a
